Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Bulk RNA-seq Level 1,Bulk RNA-seq [EFO_0003738],,"Component, Filename, File Format, HTAN Parent Biospecimen ID, HTAN Data File ID, Library Layout, Read Indicator, Nucleic Acid Source, Sequencing Platform, Sequencing Batch ID, Read Length, Library Selection Method, Library Preparation Kit Name, Library Preparation Kit Vendor, Library Preparation Kit Version, Library Preparation Days from Index, Spike In, Adapter Name, Adapter Sequence, Base Caller Name, Base Caller Version, Flow, Cell Barcode, Fragment Maximum Length, Fragment Mean Length, Fragment Minimum Length, Fragment Standard Deviation Length, Lane Number, Library Strand, Multiplex Barcode, Size Selection Range, Target Depth, To Trim Adapter Sequence, Transcript Integrity Number, RIN, DV200, Adapter Content, Basic Statistics, Encoding, Kmer Content, Overrepresented Sequences, Per Base N Content, Per Base Sequence Content, Per Base Sequence Quality, Per Sequence GC Content, Per Sequence Quality Score, Per Tile Sequence Quality, Percent GC Content, Sequence Duplication Levels, Sequence Length Distribution, Total Reads, QC Workflow Type, QC Workflow Version, QC Workflow Link, Test Attribute",,FALSE,Sequencing,mockComponent,http://www.ebi.ac.uk/efo/EFO_0003738,
Nucleic Acid Source,The source of the input nucleic molecule,"Single Cell, Bulk Whole Cell, Single Nucleus, Bulk Nuclei",,,TRUE,Sequencing,,http://example.org/htan/NucleicAcidSource,
Library Layout,Sequencing read type,"Paired End, Single Read, Mid-length, Long Read",,,TRUE,Sequencing,,,
Read Indicator,Indicate if this is Read 1 (R1) or Read 2 (R2),"R1, R2, R1&R2",,,TRUE,Sequencing,,,
cDNA,"Complementary DNA. A DNA copy of an mRNA or complex sample of mRNAs, made using reverse transcriptase",,"cDNA Offset, cDNA Length",,FALSE,Sequencing,,,
cDNA Offset,Offset in sequence for cDNA read (in bp): number,,,,TRUE,Sequencing,,,
cDNA Length,Length of cDNA read (in bp): number,,,,TRUE,Sequencing,,,
Library Construction Method,Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711],"Smart-seq2, Smart-SeqV4, 10xV1.0, 10xV1.1, 10xV2, 10xV3,10xV3.1, CEL-seq2, Drop-seq, inDropsV2, inDropsV3, TruDrop, sci-ATAC-seq",,,TRUE,Sequencing,,http://purl.obolibrary.org/obo/OBI_0000711,
Library Selection Method,How the molecules are isolated.,"Hybrid Selection, PCR, Affinity Enrichment, Other",,,TRUE,Sequencing,,,
Library Preparation Days from Index,Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number],,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,int
Sequencing Library Construction Days from Index,Number of days between sample for assay was received in lab and day of sequencing library construction [number],,,,TRUE,Sequencing,,,int
Nucleic Acid Capture Days from Index,Number of days between sample for single cell assay was received in lab and day of nucleic acid capture part of library construction (in number of days since sample received in lab) [number],,,,TRUE,Sequencing,,,int
Sequencing Platform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,"Illumina Next Seq 500, Illumina Next Seq 550, Illumina Next Seq 2500, Illumina NovaSeq 6000,  Illumina MiSeq, 454 GS FLX Titanium, AB SOLiD 4 AB SOLiD 2, AB SOLiD 3, Complete Genomics, Illumina HiSeq X Ten, Illumina HiSeq X Five, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 4000, Illumina MiSeq, Illumina NextSeq, Ion Torrent PGM, Ion Torrent Proton, Ion Torrent S5, PacBio RS, NovaSeq 6000, NovaSeqS4, Ultima Genomics UG100, Oxford Nanopore minION, GridION, PromethION, PacBio Sequel2, Revio, Other, unknown, Not Reported",,,TRUE,Device,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Technical Replicate Group,A common term for all files belonging to the same cell or library. Provide a numbering of each library prep batch (can differ from encapsulation and sequencing batch),,,,FALSE,Sequencing,,,
Total Number of Input Cells,Number of cells loaded/placed on plates,,,,TRUE,Sequencing,,,
Sequencing Batch ID,Links samples to a specific local sequencer run. Can be string or 'null',,,,TRUE,Sequencing,,,
Read Length,"The length of the sequencing reads. Can be integer, null",,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Target Capture Kit,"Description that can uniquely identify a target capture kit. Suggested value is a combination of vendor, kit name, and kit version.","Not Applicable, Custom Targets File Provided, Custom AmpliSeq Cancer Hotspot GENIE-MDA Augmented Panel v1 - 46 Genes, Custom GENIE-DFCI OncoPanel - 275 Genes, Custom GENIE-DFCI Oncopanel - 300 Genes, Custom GENIE-DFCI Oncopanel - 447 Genes, Custom HaloPlex DLBCL Panel - 370 Genes, Custom Ion AmpliSeq Hotspot GENIE-MOSC3 Augmented Panel - 74 Genes, Custom Large Construct Capture TARGET-OS Panel - 8 Genes, Custom MSK IMPACT Panel - 341 Genes, Custom MSK IMPACT Panel - 410 Genes, Custom MSK IMPACT Panel - 468 Genes, Custom Myeloid GENIE-VICC Panel - 37 Genes, Custom Personalis ACEcp VAREPOP-APOLLO Panel v2, Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 203 Genes, Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 88 Genes, Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v1, Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v2, Custom SeqCap EZ TARGET-OS Panel - 7.0 Mb, Custom Solid Tumor GENIE-VICC Panel - 34 Genes, Custom SureSelect CGCI-BLGSP Panel - 4.6 Mb, Custom SureSelect CGCI-HTMCP-CC KMT2D And Hotspot Panel - 37.0 Kb, Custom SureSelect CGCI-HTMCP-CC Panel - 19.7 Mb, Custom SureSelect GENIE-UHN Panel - 555 Genes, Custom SureSelect Human All Exon v1.1 Plus 3 Boosters, Custom SureSelect TARGET-AML_NBL_WT Panel - 2.8 Mb, Custom Twist Broad Exome v1.0 - 35.0 Mb, Custom Twist Broad PanCancer Panel - 396 Genes, Foundation Medicine T5a Panel - 322 Genes, Foundation Medicine T7 Panel - 429 Genes, Ion AmpliSeq Cancer Hotspot Panel v2, Ion AmpliSeq Comprehensive Cancer Panel, Nextera DNA Exome, Nextera Rapid Capture Exome v1.2, SeqCap EZ HGSC VCRome v2.1, SeqCap EZ Human Exome v2.0, SeqCap EZ Human Exome v3.0, SureSelect Human All Exon v3, SureSelect Human All Exon v4, SureSelect Human All Exon v5, SureSelect Human All Exon v5 + UTR, TruSeq Amplicon Cancer Panel, TruSeq Exome Enrichment - 62 Mb, TruSeq RNA Exome, TruSight Myeloid Sequencing Panel, xGen Exome Research Panel v1.0, unknown",,,TRUE,Sequencing,,,
Library Selection Method,How RNA molecules are isolated.,"Hybrid Selection, PCR, Affinity Enrichment, Poly-T Enrichment, Random, rRNA Depletion, miRNA Size Fractionation, Other",,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Preparation Kit Name,Name of Library Preparation Kit. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Preparation Kit Vendor,Vendor of Library Preparation Kit. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Preparation Kit Version,Version of Library Preparation Kit. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Adapter Name,Name of the sequencing adapter. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Adapter Sequence,Base sequence of the sequencing adapter. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Base Caller Name,Name of the base caller. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Base Caller Version,Version of the base caller. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Flow Cell Barcode,Flow cell barcode. Wrong or missing information may affect analysis results. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Fragment Maximum Length,"Maximum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Fragment Mean Length,"Mean length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Number",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Fragment Minimum Length,"Minimum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Fragment Standard Deviation Length,"Standard deviation of the sequenced fragments length (e.g., as predicted by Agilent Bioanalyzer). Number",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Lane Number,"The basic machine unit for sequencing. For Illumina machines, this reflects the physical lane number. Wrong or missing information may affect analysis results. Integer",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Strand,Library stranded-ness.,"Unstranded, First Stranded, Second Stranded, Not Applicable",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Multiplex Barcode,The barcode/index sequence used. Wrong or missing information may affect analysis results. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Size Selection Range,Range of size selection. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Target Depth,The targeted read depth prior to sequencing. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
To Trim Adapter Sequence,Does the user suggest adapter trimming?,"Yes - Trim Adapter Sequence, No",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Yes - Trim Adapter Sequence,Trim adapter sequence,"Adapter Trimmer Name, Adapter Trimmer Version, Adapter Trimmer Options",,,FALSE,Sequencing,,,
Adapter Trimmer Name,Name of adapter trimmer,,,,FALSE,Sequencing,,,
Adapter Trimmer Version,Version of the adapter trimmer,,,,FALSE,Sequencing,,,
Adapter Trimmer Options,Options used by adapter trimmer,,,,FALSE,Sequencing,,,
Transcript Integrity Number,"Used to describe the quality of the starting material, esp. in regards to FFPE samples. Number",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
RIN,A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample including the presence or absence of degradation products. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
DV200,Represents the percentage of RNA fragments that are >200 nucleotides in size. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Adapter Content,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Basic Statistics,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Encoding,Version of ASCII encoding of quality values found in the file. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Kmer Content,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Overrepresented Sequences,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Per Base N Content,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Per Base Sequence Content,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Per Base Sequence Quality,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Per Sequence GC Content,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Per Sequence Quality Score,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Per Tile Sequence Quality,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Percent GC Content,The overall %GC of all bases in all sequences. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Sequence Duplication Levels,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Sequence Length Distribution,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,"FAIL, PASS, WARN, unknown, Not Reported",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Total Reads,Total number of reads per sample. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Whitelist Cell Barcode File Link,Link to file listing all possible cell barcodes. URL,,,,TRUE,Sequencing,,,
Cell Barcode Tag,SAM tag for cell barcode field; please provide a valid cell barcode tag,,,,TRUE,Sequencing,,,
UMI Tag,"SAM tag for UMI field; please provide a valid UB, UMI",,,,TRUE,Sequencing,,,
Applied Hard Trimming,Was Hard Trimming applied,"Yes - Applied Hard Trimming, No",,,TRUE,Sequencing,,,
Yes - Applied Hard Trimming,Hard Trimming was applied,,Aligned Read Length,,FALSE,Sequencing,,,
Aligned Read Length,Read length used for alignment if hard trimming was applied,,,,TRUE,Sequencing,,,
scRNAseq Workflow Type,Generic name for the workflow used to analyze a data set.,"CellRanger, STARsolo, HCA Optimus, dropEST, SEQC, Cufflinks, DEXSeq, HTSeq - FPKM, Cell annotation, Differentiation trajectory analysis, Other",,,TRUE,Sequencing,,,
Workflow Type,Generic name for the workflow used to analyze a data set.,,,,TRUE,Sequencing,,,
Workflow Version,Major version of the workflow (e.g. Cell Ranger v3.1),,,,TRUE,Sequencing,,,
scRNAseq Workflow Parameters Description,"Parameters used to run the workflow. scRNA-seq level 3: e.g. Normalization and log transformation, ran empty drops or doublet detection, used filter on # genes/cell, etc. scRNA-seq Level 4: dimensionality reduction with PCA and 50 components, nearest-neighbor graph with k = 20 and Leiden clustering with resolution = 1, UMAP visualization using 50 PCA components, marker genes used to annotate cell types, information about droplet matrix (all barcodes) to cell matrix (only informative barcodes representing real cells) conversion",,,,TRUE,Sequencing,,,
scATACseq Workflow Type,Generic name for the workflow used to analyze a data set.,,,,TRUE,Sequencing,,,
scATACseq Workflow Parameters Description,Parameters used to run the scATAC-seq workflow.,,,,TRUE,Sequencing,,,
Workflow Parameters Description,Parameters used to run the workflow.,,,,TRUE,Sequencing,,,
Workflow Link,Link to workflow or command. DockStore.org recommended. URL,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=rna_expression_workflow,
QC Workflow Type,Generic name for the workflow used to analyze a data set. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
QC Workflow Version,Major version for a workflow. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
QC Workflow Link,Link to workflow used. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Germline Variants Workflow URL,"Link to workflow document, e.g. Github, DockStore.org recommended",,,,TRUE,Sequencing,,,
Germline Variants Workflow Type,Generic name for the workflow used to analyze a data set,"GATK4, Other Germline Variants Workflow Type, None",,,FALSE,Sequencing,,,
Other Germline Variants Workflow Type,Other Germline Variants Workflow Type,,Custom Germline Variants Workflow Type,,FALSE,Sequencing,,,
Custom Germline Variants Workflow Type,Specify the name of a custom alignment workflow,,,,TRUE,Sequencing,,,
Somatic Variants Workflow URL,Generic name for the workflow used to analyze a data set.,,,,TRUE,Sequencing,,,
Somatic Variants Workflow Type,Generic name for the workflow used to analyze a data set.,"CaVEMan, GATK4, MuTect2, MuSE, MuTect2, Pindel, SomaticSniper, VarScan2, Other Somatic Variants Workflow Type, None",,,FALSE,Sequencing,,,
Other Somatic Variants Workflow Type,Other Somatic Variants Workflow Type,,Custom Somatic Variants Workflow Type,,FALSE,Sequencing,,,
Custom Somatic Variants Workflow Type,Specify the name of a custom workflow name,,,,TRUE,Sequencing,,,
Somatic Variants Sample Type,Is the sample case or control in somatic variant analysis,"Case Sample, Control Sample, Not Applicable",,,TRUE,Sequencing,,,
Structural Variant Workflow URL,Link to workflow document. DockStore.org recommended. URL,,,,TRUE,Sequencing,,,
Structural Variant Workflow Type,Generic name for the workflow used to analyze a data set.,"BRASS, GATK4, CNV, CNVkit, Other Structural Variant Workflow Type, None",,,FALSE,Sequencing,,,
Other Structural Variant Workflow Type,Other Structural Variant Workflow Type,,Custom Structural Variant Workflow Type,,FALSE,Sequencing,,,
Custom Structural Variant Workflow Type,Specify the name of a custom workflow name,,,,TRUE,Sequencing,,,
Alignment Workflow Url,Link to workflow used for read alignment. DockStore.org recommended. String,,,,TRUE,Sequencing,,,
Alignment Workflow Type,Generic name for the workflow used to analyze a data set.,"BWA, BWA with BQSR, BWA-aln, BWA-mem, BWA with Mark Duplicates and BQSR, STAR 2-Pass, STAR 2-Pass Chimeric, STAR 2-Pass Genome, STAR 2-Pass Transcriptome, Bowtie, Bismark, GSNAP, BSMAP, BSmooth, BS-Seeker2, BS-Seeker, RMAP, MethylCoder, BRAT-BW, Pash, Segemehl, Bisulfighter, BatMeth, LAST, ERNE-BS5, B-SOLANA, SOCS-B, BWA-meth, Other Alignment Workflow, None",,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=alignment_workflow,
Other Alignment Workflow,Other Alignment Workflow,,Custom Alignment Workflow,,FALSE,Sequencing,,,
Custom Alignment Workflow,Specify the name of a custom alignment workflow,,,,TRUE,Sequencing,,,
MSI Workflow Link,Link to method workflow (or command) used in estimating the MSI. URL,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
MSI Score,Numeric score denoting the aligned reads file's MSI score from MSIsensor. Number,,,,FALSE,Sequencing,,,
MSI Status,MSIsensor determination of either microsatellite stability or instability.,"MSI, MSI-low, MSI-high, MSS",,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Genomic Reference,Exact version of the human genome reference used in the alignment of reads (e.g. https://www.gencodegenes.org/human/). URL,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=alignment_workflow,
Genomic Reference URL,Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz),,,,TRUE,Sequencing,,,
Genome Annotation URL,Link to the human genome annotation (GTF) file (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/gencode.v34.annotation.gtf.gz),,,,TRUE,Sequencing,,,
Index File Name,The name (or part of a name) of a file (of any type). String,,,,TRUE,Sequencing,,,
Average Base Quality,Average base quality collected from samtools. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads_index,
Average Insert Size,Average insert size collected from samtools. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Average Read Length,Average read length collected from samtools. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Contamination,Fraction of reads coming from cross-sample contamination collected from GATK4. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Contamination Error,Estimation error of cross-sample contamination collected from GATK4. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Mean Coverage,"Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard. Number",,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Pairs On Diff CHR,Pairs on different chromosomes collected from samtools. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Total Uniquely Mapped,Number of reads that map to genome. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Total Unmapped reads,Number of reads that did not map to genome. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Proportion Reads Duplicated,Proportion of duplicated reads collected from samtools. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Proportion Reads Mapped,Proportion of mapped reads collected from samtools. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Proportion Targets No Coverage,Proportion of targets that did not reach 1X coverage over any base from Picard Tools. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Proportion Base Mismatch,Proportion of mismatched bases collected from samtools. Number,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Proportion Coverage 10x,"Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 10X or greater coverage from Picard Tools.",,,,FALSE,Sequencing,,,
Proportion Mitochondrial Reads,Proportion of reads mapping to mitochondria.,,,,FALSE,Sequencing,,,
Proportion Coverage 30X,"Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 30X or greater coverage from Picard Tools.",,,,FALSE,Sequencing,,,
Short Reads,Number of reads that were too short. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=aligned_reads,
Pseudo Alignment Used,Pseudo aligners such as Kallisto or Salmon do not produce aligned reads BAM files. True indicates pseudoalignment was used.,"Yes - Pseudo Alignment Used, No",,,TRUE,Sequencing,,,
Software and Version,Name of software used to generate expression values. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=rna_expression_workflow,
Yes - Pseudo Alignment Used,Pseudo aligner was used,,"Workflow Link, Software and Version, Genomic Reference, Genomic Reference URL",,FALSE,Sequencing,,,
Genomic Reference,Exact version of the human genome reference used in the alignment of reads (e.g. https://www.gencodegenes.org/human/),,,,TRUE,Sequencing,,,
Genomic Reference URL,Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz) [URL],,,,TRUE,Sequencing,,,
